theme,rank,title,award,is_oral,public_total_votes,visits_last_7_days,github_stars,score,official_topic,url,alphaxiv_url
LLM reasoning and test-time compute,8,Maximum Likelihood Reinforcement Learning,,true,259,100,194,3.0101,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/65332,https://www.alphaxiv.org/abs/2602.02710
LLM reasoning and test-time compute,9,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,,true,60,17,644,2.8889,,https://icml.cc/virtual/2026/poster/64095,https://www.alphaxiv.org/abs/2512.22737
LLM reasoning and test-time compute,10,Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence,,true,52,21,356,2.7686,Applications->Computer Vision,https://icml.cc/virtual/2026/poster/63725,https://www.alphaxiv.org/abs/2603.07660
LLM reasoning and test-time compute,11,Distributional Inverse Reinforcement Learning,,true,5,6,474,2.7484,Reinforcement Learning->Inverse,https://icml.cc/virtual/2026/poster/63146,https://www.alphaxiv.org/abs/2510.03013
LLM reasoning and test-time compute,12,Reinforcement Learning via Self-Distillation,,false,718,334,1008,2.7426,Deep Learning->Algorithms,https://icml.cc/virtual/2026/poster/64121,https://www.alphaxiv.org/abs/2601.20802
"Agents, tools, and computer use",1,Motion Attribution for Video Generation,Outstanding Paper Honorable Mention,true,67,208,0,5.9276,Deep Learning->Foundation Models,https://icml.cc/virtual/2026/poster/60542,https://www.alphaxiv.org/abs/2601.08828
"Agents, tools, and computer use",2,A Random Matrix Perspective on the Consistency of Diffusion Models,Outstanding Paper Honorable Mention,true,14,96,0,5.6787,Deep Learning->Generative Models and Autoencoders,https://icml.cc/virtual/2026/poster/62241,https://www.alphaxiv.org/abs/2602.02908
"Agents, tools, and computer use",3,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),Outstanding Position Paper Honorable Mention,true,0,0,0,5.5,Social Aspects->Safety,https://icml.cc/virtual/2026/poster/67084,
"Agents, tools, and computer use",4,Process Reward Models That Think,,false,1815,361,89,3.5139,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/68817,https://www.alphaxiv.org/abs/2504.16828
"Agents, tools, and computer use",5,Reinforcement Learning with Evolving Rubrics for Deep Research,,true,201,154,682,3.2887,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/65886,https://www.alphaxiv.org/abs/2511.19399
"Agents, tools, and computer use",6,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,,true,89,91,1569,3.2246,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/64377,https://www.alphaxiv.org/abs/2506.07982
"Agents, tools, and computer use",7,Monitoring Monitorability,,true,28,17,2786,3.1463,,https://icml.cc/virtual/2026/poster/62992,https://www.alphaxiv.org/abs/2512.18311
"Agents, tools, and computer use",8,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,,true,89,40,1228,3.0889,,https://icml.cc/virtual/2026/poster/63095,https://www.alphaxiv.org/abs/2511.19900
"Agents, tools, and computer use",9,VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics,,true,0,13,1013,2.9064,Deep Learning->Foundation Models,https://icml.cc/virtual/2026/poster/62831,https://www.alphaxiv.org/abs/2604.06182
"Agents, tools, and computer use",10,Reinforcement Learning via Self-Distillation,,false,718,334,1008,2.7426,Deep Learning->Algorithms,https://icml.cc/virtual/2026/poster/64121,https://www.alphaxiv.org/abs/2601.20802
"Agents, tools, and computer use",11,CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability,,true,21,41,139,2.5812,Applications->Everything Else,https://icml.cc/virtual/2026/poster/65622,https://www.alphaxiv.org/abs/2602.03012
