canonical_institution,sector,paper_count,oral_count,award_count,public_total_votes,votes_per_paper,visits_last_7_days,unique_partner_count,collaboration_pagerank,top_topic_groups,top_themes,top_clusters,top_partners
Imperial College London,Academia,63,4,0,691,10.97,196,143,0.00248687,Deep Learning (20); Applications (16); Reinforcement Learning (7); Social Aspects (5); General Machine Learning (4),"Theory, optimization, and sampling (36); Agents, tools, and computer use (28); Memorization, evaluation, and generalization (28); Systems, efficiency, and compression (25); LLM reasoning and test-time compute (22)",11: agent / agents / multi agent / multi (7); 17: representation / machine learning / machine / general (6); 3: diffusion / generative / diffusion models / generative models (5),Hong Kong University of Science and Technology (7); Zhejiang University (7); Peking University (5); Stanford University (5); University of Oxford (5); Amazon (4); Shanghai Jiao Tong University (4); University of Cambridge (4)
East China Normal University,Academia,63,0,0,861,13.67,199,126,0.00228993,Applications (24); Deep Learning (22); Unknown (6); Social Aspects (4); General Machine Learning (3),"Memorization, evaluation, and generalization (33); Theory, optimization, and sampling (29); LLM reasoning and test-time compute (26); Agents, tools, and computer use (25); Multimodal, vision-language, and video (24)",18: time series / series / time / forecasting (8); 3: diffusion / generative / diffusion models / generative models (6); 4: visual / multimodal / reasoning / vision (5),Shanghai Jiao Tong University (11); Alibaba (7); Zhejiang University (6); Tsinghua University (6); Hong Kong University of Science and Technology (6); Nanyang Technological University (6); Chinese Academy of Sciences (5); Aalborg University (5)
Northeastern University,Academia,62,1,0,1064,17.16,328,184,0.00287599,Deep Learning (17); Applications (14); Social Aspects (10); General Machine Learning (7); Unknown (6),"Memorization, evaluation, and generalization (31); Safety, alignment, governance, and risk (27); Agents, tools, and computer use (25); Theory, optimization, and sampling (25); LLM reasoning and test-time compute (24)",19: action / vla / language action / vision language (5); 4: visual / multimodal / reasoning / vision (5); 11: agent / agents / multi agent / multi (5),Harvard University (8); University of Hong Kong (6); MIT (5); Shanghai Jiao Tong University (5); ByteDance (4); Zhejiang University (4); Stanford University (4); Columbia University (4)
Southeast University,Academia,62,0,0,238,3.84,127,113,0.0018502,Deep Learning (22); Applications (13); General Machine Learning (9); Social Aspects (6); Unknown (4),"Memorization, evaluation, and generalization (32); Agents, tools, and computer use (30); Systems, efficiency, and compression (27); Safety, alignment, governance, and risk (27); Theory, optimization, and sampling (25)",25: cross / semantic / label / extensive (15); 12: tuning / fine tuning / fine / lora (6); 4: visual / multimodal / reasoning / vision (5),Shanghai Jiao Tong University (5); Tsinghua University (5); Zhejiang University (5); Nanjing University of Science and Technology (4); University of Science and Technology of China (4); Peking University (4); Chinese Academy of Sciences (4); National University of Singapore (4)
"University of California, Los Angeles",Academia,61,1,0,742,12.16,718,122,0.00218844,Deep Learning (18); Applications (12); Theory (8); General Machine Learning (7); Unknown (6),"Memorization, evaluation, and generalization (34); Theory, optimization, and sampling (29); LLM reasoning and test-time compute (28); Agents, tools, and computer use (24); RL for LLMs and verifiable rewards (23)",1: language / language models / llms / large language (5); 3: diffusion / generative / diffusion models / generative models (5); 15: physics / chemistry / earth / applications chemistry (4),"UCLA (20); ByteDance (6); Carnegie Mellon University (6); UCLA Computer Science Department, University of California, Los Angeles (5); MIT (4); Stanford University (4); University of Hong Kong (4); Princeton University (3)"
National University of Defense Technology,Academia,60,3,0,161,2.68,85,88,0.00165057,Deep Learning (19); Unknown (16); Applications (9); General Machine Learning (7); Social Aspects (4),"Memorization, evaluation, and generalization (40); Safety, alignment, governance, and risk (30); Theory, optimization, and sampling (27); Agents, tools, and computer use (26); Systems, efficiency, and compression (23)",25: cross / semantic / label / extensive (13); 4: visual / multimodal / reasoning / vision (7); 20: code / anonymous / 4open science / 4open (6),Academy of Military Science (7); Tsinghua University (7); Peking University (6); Xiamen University (4); Harbin Institute of Technology (4); University of Electronic Science and Technology of China (4); Shanghai Jiao Tong University (4); Alibaba (3)
Xi'an Jiaotong University,Academia,60,2,0,825,13.75,304,127,0.00220477,Applications (27); Deep Learning (15); Unknown (5); Reinforcement Learning (4); Social Aspects (3),"Memorization, evaluation, and generalization (32); Multimodal, vision-language, and video (30); Theory, optimization, and sampling (28); LLM reasoning and test-time compute (27); Systems, efficiency, and compression (26)",4: visual / multimodal / reasoning / vision (6); 19: action / vla / language action / vision language (6); 20: code / anonymous / 4open science / 4open (6),Peking University (9); Shanghai Jiao Tong University (9); Chinese Academy of Sciences (7); The Chinese University of Hong Kong (7); Tsinghua University (6); National University of Singapore (6); Alibaba (5); Fudan University (5)
Xiamen University,Academia,56,0,0,227,4.05,112,87,0.00156262,Deep Learning (23); Applications (15); General Machine Learning (5); Unknown (5); Reinforcement Learning (3),"Multimodal, vision-language, and video (27); Systems, efficiency, and compression (25); Theory, optimization, and sampling (25); Safety, alignment, governance, and risk (23); Memorization, evaluation, and generalization (22)",25: cross / semantic / label / extensive (12); 21: quantization / kv / memory / cache (5); 4: visual / multimodal / reasoning / vision (4),Tsinghua University (5); University of Science and Technology of China (5); Tencent (4); The Chinese University of Hong Kong (4); University of Hong Kong (4); National University of Defense Technology (4); Hong Kong University of Science and Technology (4); National University of Singapore (4)
EPFL,Other / unknown,54,4,0,482,8.93,231,84,0.00200948,Deep Learning (21); Theory (11); Applications (8); General Machine Learning (4); Reinforcement Learning (3),"Theory, optimization, and sampling (27); Memorization, evaluation, and generalization (26); LLM reasoning and test-time compute (23); Agents, tools, and computer use (17); Safety, alignment, governance, and risk (17)",9: theory / algorithm / optimal / regret (10); 14: attention / transformers / transformer / context (5); 17: representation / machine learning / machine / general (5),EPFL - EPF Lausanne (15); ETH Zurich (4); Swiss Federal Institute of Technology Lausanne (3); Google (3); Meta (3); UC Berkeley (2); University of Zurich (2); Max Planck / ELLIS (2)
Sichuan University,Academia,53,3,0,330,6.23,111,103,0.00190603,Deep Learning (25); Applications (10); Unknown (9); General Machine Learning (6); Social Aspects (2),"Memorization, evaluation, and generalization (36); Multimodal, vision-language, and video (27); Theory, optimization, and sampling (23); LLM reasoning and test-time compute (23); Safety, alignment, governance, and risk (22)",25: cross / semantic / label / extensive (15); 4: visual / multimodal / reasoning / vision (5); 1: language / language models / llms / large language (5),Alibaba (7); Peking University (6); Tsinghua University (6); Nanyang Technological University (5); University of Electronic Science and Technology of China (4); Hong Kong University of Science and Technology (4); University of Chinese Academy of Sciences (4); University of Wisconsin - Madison (4)
University of Pennsylvania,Academia,53,2,0,719,13.57,176,93,0.00151042,Deep Learning (12); Applications (9); Social Aspects (7); Theory (7); Unknown (7),"Theory, optimization, and sampling (30); Safety, alignment, governance, and risk (23); Systems, efficiency, and compression (22); Memorization, evaluation, and generalization (21); LLM reasoning and test-time compute (20)",17: representation / machine learning / machine / general (7); 1: language / language models / llms / large language (7); 3: diffusion / generative / diffusion models / generative models (5),"The Wharton School, University of Pennsylvania (5); Amazon (4); Carnegie Mellon University (4); Princeton University (2); University of Toronto (2); Harvard University (2); Mila (2); Technion (2)"
Hong Kong Polytechnic University,Academia,53,1,0,675,12.74,225,108,0.00192497,Deep Learning (22); Applications (15); Social Aspects (5); General Machine Learning (5); Unknown (3),"Memorization, evaluation, and generalization (29); Safety, alignment, governance, and risk (25); LLM reasoning and test-time compute (23); Systems, efficiency, and compression (23); Theory, optimization, and sampling (21)",1: language / language models / llms / large language (5); 11: agent / agents / multi agent / multi (5); 2: attacks / attack / safety / adversarial (5),The Hong Kong Polytechnic University (16); Zhejiang University (8); Nanyang Technological University (8); ByteDance (7); Hong Kong University of Science and Technology (6); University of Electronic Science and Technology of China (5); Tsinghua University (4); Southern University of Science and Technology (4)
University of Southern California,Academia,51,1,0,623,12.22,216,88,0.00146241,Deep Learning (19); Social Aspects (9); Unknown (9); General Machine Learning (6); Applications (5),"Memorization, evaluation, and generalization (30); LLM reasoning and test-time compute (24); Theory, optimization, and sampling (20); Safety, alignment, governance, and risk (19); Agents, tools, and computer use (17)",1: language / language models / llms / large language (10); 6: reasoning / reinforcement / rl / reinforcement learning (5); 14: attention / transformers / transformer / context (4),Google (8); USC (6); University of Illinois Urbana-Champaign (5); Carnegie Mellon University (4); Google DeepMind (3); Cornell University (3); Stanford University (3); Peking University (3)
South China University of Technology,Academia,51,1,0,265,5.2,168,82,0.00119767,Deep Learning (18); Applications (13); Unknown (7); General Machine Learning (4); Social Aspects (3),"Systems, efficiency, and compression (29); Theory, optimization, and sampling (29); LLM reasoning and test-time compute (25); Memorization, evaluation, and generalization (25); Multimodal, vision-language, and video (23)",12: tuning / fine tuning / fine / lora (6); 21: quantization / kv / memory / cache (5); 6: reasoning / reinforcement / rl / reinforcement learning (4),Peking University (6); Alibaba (6); Shanghai Jiao Tong University (5); Tsinghua University (4); The Chinese University of Hong Kong (3); University of Electronic Science and Technology of China (3); Hong Kong University of Science and Technology (3); University of Hong Kong (3)
MBZUAI,Research institute,50,3,0,603,12.06,324,134,0.00239361,Deep Learning (20); Social Aspects (9); Optimization (5); Applications (5); General Machine Learning (3),"Theory, optimization, and sampling (27); Safety, alignment, governance, and risk (23); LLM reasoning and test-time compute (21); Memorization, evaluation, and generalization (21); Systems, efficiency, and compression (17)",23: interpretability / accountability / transparency / transparency interpretability (8); 1: language / language models / llms / large language (6); 17: representation / machine learning / machine / general (5),"Mohamed bin Zayed University of Artificial Intelligence (24); KAUST (4); Carnegie Mellon University (4); University of Oxford (4); University of Georgia (3); University of California, San Diego (3); New York University (3); McGill University (3)"
University of Chicago,Academia,50,1,0,1158,23.16,275,140,0.00229992,Deep Learning (13); Social Aspects (9); General Machine Learning (8); Unknown (7); Theory (4),"LLM reasoning and test-time compute (23); Memorization, evaluation, and generalization (22); Safety, alignment, governance, and risk (21); Theory, optimization, and sampling (21); Agents, tools, and computer use (20)",1: language / language models / llms / large language (6); 9: theory / algorithm / optimal / regret (5); 28: position / ai / position paper / argues (4),The University of Chicago (6); Microsoft (5); MIT (5); University of Illinois Urbana-Champaign (5); Google DeepMind (4); University of Hong Kong (4); Princeton University (4); Harvard University (3)
Beijing Institute of Technology,Academia,50,0,0,205,4.1,90,113,0.00189253,Deep Learning (17); Applications (14); Unknown (7); General Machine Learning (5); Reinforcement Learning (3),"Memorization, evaluation, and generalization (28); Multimodal, vision-language, and video (25); Systems, efficiency, and compression (21); RL for LLMs and verifiable rewards (21); Agents, tools, and computer use (21)",25: cross / semantic / label / extensive (9); 5: graph / graph neural / networks / neural networks (6); 4: visual / multimodal / reasoning / vision (5),Tsinghua University (13); Peking University (5); Hong Kong University of Science and Technology (4); Chinese Academy of Sciences (4); Beijing institude of technology (3); RedNote (3); Zhejiang University (3); Shanghai Jiao Tong University (3)
"University of Maryland, College Park",Academia,49,1,0,1051,21.45,384,140,0.00234131,Deep Learning (18); Social Aspects (8); General Machine Learning (6); Applications (5); Theory (5),"Memorization, evaluation, and generalization (30); Agents, tools, and computer use (25); Theory, optimization, and sampling (25); LLM reasoning and test-time compute (23); RL for LLMs and verifiable rewards (17)",9: theory / algorithm / optimal / regret (9); 1: language / language models / llms / large language (7); 6: reasoning / reinforcement / rl / reinforcement learning (3),University of Maryland (12); Google (6); Carnegie Mellon University (4); Microsoft (4); University of Central Florida (4); Google DeepMind (3); Harvard University (3); UC Berkeley (3)
Apple,Industry,47,3,0,546,11.62,214,86,0.00157424,Deep Learning (28); General Machine Learning (6); Unknown (6); Applications (4); Social Aspects (2),"Memorization, evaluation, and generalization (25); LLM reasoning and test-time compute (23); Theory, optimization, and sampling (20); RL for LLMs and verifiable rewards (18); Safety, alignment, governance, and risk (16)",21: quantization / kv / memory / cache (5); 4: visual / multimodal / reasoning / vision (4); 11: agent / agents / multi agent / multi (4),Carnegie Mellon University (6); Microsoft (4); Meta (4); Stanford University (3); EPFL Swiss Federal Institute of Technology (3); MIT (3); UC Berkeley (3); ETH Zurich (2)
Shandong University,Academia,47,1,0,247,5.26,119,74,0.00117439,Deep Learning (18); Applications (13); General Machine Learning (8); Optimization (3); Social Aspects (2),"Memorization, evaluation, and generalization (24); Agents, tools, and computer use (23); Theory, optimization, and sampling (22); Multimodal, vision-language, and video (21); Safety, alignment, governance, and risk (21)",25: cross / semantic / label / extensive (10); 17: representation / machine learning / machine / general (5); 4: visual / multimodal / reasoning / vision (4),Beihang University (5); Zhejiang University (4); Ocean University of China (4); Peking University (4); University of Science and Technology of China (4); Tsinghua University (3); Nanyang Technological University (3); Nanjing University of Aeronautics and Astronautics (3)
University College London,Academia,46,0,0,487,10.59,260,159,0.00272169,Deep Learning (15); Applications (10); General Machine Learning (6); Probabilistic Methods (4); Social Aspects (4),"Theory, optimization, and sampling (28); Multimodal, vision-language, and video (23); Memorization, evaluation, and generalization (21); Safety, alignment, governance, and risk (21); Agents, tools, and computer use (20)",17: representation / machine learning / machine / general (4); 10: 3d / vision / applications computer / computer vision (4); 3: diffusion / generative / diffusion models / generative models (4),"University of Oxford (7); University of Edinburgh (6); Chinese Academy of Sciences (6); Mohamed bin Zayed University of Artificial Intelligence (5); University College London, University of London (5); Nanyang Technological University (5); UCL (4); Meta (4)"
Technical University of Munich,Academia,44,1,0,435,9.89,183,113,0.00210787,Deep Learning (19); Applications (15); General Machine Learning (3); Unknown (3); Social Aspects (2),"Memorization, evaluation, and generalization (23); Multimodal, vision-language, and video (20); Safety, alignment, governance, and risk (17); Theory, optimization, and sampling (16); LLM reasoning and test-time compute (15)",3: diffusion / generative / diffusion models / generative models (7); 14: attention / transformers / transformer / context (4); 1: language / language models / llms / large language (4),Technische Universität München (13); Technical University Munich (7); TUM & Télécom Paris (5); Huawei (4); Max Planck / ELLIS (4); Google (3); TU Munich (3); National University of Singapore (3)
Nanjing University of Science and Technology,Academia,44,0,0,111,2.52,48,77,0.00127479,Deep Learning (13); Applications (12); Unknown (6); Optimization (4); General Machine Learning (4),"Memorization, evaluation, and generalization (24); Systems, efficiency, and compression (24); Multimodal, vision-language, and video (21); Theory, optimization, and sampling (20); Safety, alignment, governance, and risk (19)",25: cross / semantic / label / extensive (9); 10: 3d / vision / applications computer / computer vision (4); 5: graph / graph neural / networks / neural networks (4),Nanjing University (9); National University of Singapore (5); Zhejiang University (5); Beijing Normal University (5); Southeast University (4); Nanyang Technological University (4); Chinese Academy of Sciences (4); China Academy of Space Technology (CAST) (3)
Northwestern University,Academia,41,2,0,781,19.05,211,97,0.00142754,Deep Learning (12); Social Aspects (6); Applications (6); Theory (6); Unknown (5),"Memorization, evaluation, and generalization (20); Theory, optimization, and sampling (18); RL for LLMs and verifiable rewards (17); Systems, efficiency, and compression (16); Safety, alignment, governance, and risk (15)",17: representation / machine learning / machine / general (5); 11: agent / agents / multi agent / multi (4); 9: theory / algorithm / optimal / regret (3),Northwestern (11); Fudan University (6); Stanford University (4); Carnegie Mellon University (3); Google (3); MIT (3); University of Chicago (3); Peking University (3)
Jilin University,Academia,41,2,0,176,4.29,81,77,0.00130323,Deep Learning (15); Applications (12); Unknown (5); General Machine Learning (4); Reinforcement Learning (2),"Memorization, evaluation, and generalization (25); Agents, tools, and computer use (18); Multimodal, vision-language, and video (16); LLM reasoning and test-time compute (16); Systems, efficiency, and compression (15)",11: agent / agents / multi agent / multi (5); 10: 3d / vision / applications computer / computer vision (5); 12: tuning / fine tuning / fine / lora (4),Tsinghua University (6); Hong Kong University of Science and Technology (5); Peking University (4); University of Electronic Science and Technology of China (4); Chinese Academy of Sciences (4); University of Hong Kong (4); University of Chinese Academy of Sciences (4); Griffith University (3)
Purdue University,Academia,41,1,1,255,6.22,188,57,0.00094412,Deep Learning (13); Theory (8); Unknown (4); Applications (4); Probabilistic Methods (3),"Theory, optimization, and sampling (29); Memorization, evaluation, and generalization (22); LLM reasoning and test-time compute (16); Safety, alignment, governance, and risk (15); RL for LLMs and verifiable rewards (14)",9: theory / algorithm / optimal / regret (11); 3: diffusion / generative / diffusion models / generative models (3); 2: attacks / attack / safety / adversarial (3),Peking University (3); University of Illinois Urbana-Champaign (3); Shanghai Jiao Tong University (2); University of Michigan (2); State University of New York at Albany (2); The University of Chicago (2); University of Toronto (2); Yonsei University (2)
Southern University of Science and Technology,Academia,41,0,0,305,7.44,153,84,0.00142637,Deep Learning (15); Applications (8); Optimization (5); Unknown (4); Social Aspects (3),"Memorization, evaluation, and generalization (31); Safety, alignment, governance, and risk (21); Theory, optimization, and sampling (21); LLM reasoning and test-time compute (16); Systems, efficiency, and compression (16)",1: language / language models / llms / large language (3); 11: agent / agents / multi agent / multi (3); 22: gradient / networks / optimization / neural networks (3),The Chinese University of Hong Kong (7); Hong Kong University of Science and Technology (7); University of Hong Kong (6); SUSTech (6); Shanghai Jiao Tong University (6); Hong Kong Polytechnic University (4); Nanjing University (4); The Hong Kong Polytechnic University (3)
"Harbin Institute of Technology, Shenzhen",Academia,41,0,0,155,3.78,85,67,0.0013471,Applications (16); Deep Learning (14); Unknown (6); Social Aspects (3); General Machine Learning (2),"Agents, tools, and computer use (22); Memorization, evaluation, and generalization (20); Multimodal, vision-language, and video (20); LLM reasoning and test-time compute (19); Systems, efficiency, and compression (19)",21: quantization / kv / memory / cache (5); 4: visual / multimodal / reasoning / vision (4); 25: cross / semantic / label / extensive (4),"Harbin Institute of Technology (23); Harbin Institute of Technology (Shenzhen) (13); Pengcheng Laboratory (7); Tsinghua University (5); Harbin Institute of Technology (Shenzhen), China (4); The Chinese University of Hong Kong (4); Tencent (4); University of Chinese Academy of Sciences (4)"
Xidian University,Academia,40,0,0,114,2.85,42,59,0.00109622,Applications (13); Deep Learning (11); General Machine Learning (6); Unknown (4); Optimization (3),"Memorization, evaluation, and generalization (23); Theory, optimization, and sampling (22); Safety, alignment, governance, and risk (19); Systems, efficiency, and compression (19); Multimodal, vision-language, and video (18)",25: cross / semantic / label / extensive (9); 10: 3d / vision / applications computer / computer vision (5); 20: code / anonymous / 4open science / 4open (3),Xi'an University of Electronic Science and Technology (16); xidian university (5); Hong Kong University of Science and Technology (4); Nanyang Technological University (3); Chinese Academy of Sciences (2); Xi'an University (2); Xidian Univ. (2); University of Macau (2)
Meituan,Other / unknown,39,1,0,411,10.54,180,66,0.00118925,Deep Learning (18); Unknown (11); Applications (5); Reinforcement Learning (3); General Machine Learning (1),"LLM reasoning and test-time compute (26); Memorization, evaluation, and generalization (24); Agents, tools, and computer use (21); Systems, efficiency, and compression (20); Theory, optimization, and sampling (19)",11: agent / agents / multi agent / multi (8); 6: reasoning / reinforcement / rl / reinforcement learning (6); 12: tuning / fine tuning / fine / lora (6),Peking University (9); Tsinghua University (5); Zhejiang University (5); Meituan LongCat Team (5); OPC (5); Beihang University (4); Shanghai Jiao Tong University (4); The Chinese University of Hong Kong (4)
Sun Yat-sen University,Academia,39,0,0,325,8.33,90,74,0.00138552,Deep Learning (17); Applications (9); Unknown (5); Reinforcement Learning (3); General Machine Learning (2),"Multimodal, vision-language, and video (19); Theory, optimization, and sampling (19); Memorization, evaluation, and generalization (19); Safety, alignment, governance, and risk (17); LLM reasoning and test-time compute (16)",4: visual / multimodal / reasoning / vision (5); 25: cross / semantic / label / extensive (4); 10: 3d / vision / applications computer / computer vision (3),SUN YAT-SEN UNIVERSITY (21); Tsinghua University (7); Nanyang Technological University (5); Shanghai Jiao Tong University (4); Hong Kong University of Science and Technology (4); Sun Yat-Sen University (4); University of Hong Kong (3); Pengcheng Laboratory (3)
Duke University,Academia,39,0,0,281,7.21,69,77,0.00118842,Deep Learning (9); General Machine Learning (6); Reinforcement Learning (5); Applications (5); Unknown (5),"Theory, optimization, and sampling (18); Systems, efficiency, and compression (16); Safety, alignment, governance, and risk (14); RL for LLMs and verifiable rewards (13); Agents, tools, and computer use (10)",17: representation / machine learning / machine / general (7); 14: attention / transformers / transformer / context (4); 7: reinforcement learning / reinforcement / policy / rl (3),"Duke (7); Department of Computer Science, Duke University (4); MIT (3); UC Berkeley (3); Adobe Systems (3); University of British Columbia (3); Harvard University (3); Georgia Tech (2)"
University of Edinburgh,Academia,38,2,0,479,12.61,138,126,0.00209218,Deep Learning (15); Probabilistic Methods (6); Unknown (4); Theory (3); Applications (3),"Theory, optimization, and sampling (20); Memorization, evaluation, and generalization (20); LLM reasoning and test-time compute (19); Agents, tools, and computer use (16); RL for LLMs and verifiable rewards (12)",17: representation / machine learning / machine / general (5); 11: agent / agents / multi agent / multi (5); 9: theory / algorithm / optimal / regret (4),University College London (6); University of Oxford (6); Chinese Academy of Sciences (5); Fudan University (4); Shanghai Jiao Tong University (4); Alibaba (3); ByteDance (3); University of Hong Kong (3)
University of North Carolina at Chapel Hill,Academia,37,3,0,562,15.19,237,83,0.00137482,Deep Learning (13); Social Aspects (5); Applications (5); Unknown (5); Theory (4),"Memorization, evaluation, and generalization (20); RL for LLMs and verifiable rewards (18); LLM reasoning and test-time compute (18); Safety, alignment, governance, and risk (15); Theory, optimization, and sampling (15)",1: language / language models / llms / large language (5); 23: interpretability / accountability / transparency / transparency interpretability (4); 13: scaling / test time / test / time (4),"Department of Computer Science, University of North Carolina at Chapel Hill (10); Assistant Professor - UNC Chapel Hill (7); Fudan University (4); Nanyang Technological University (3); The Chinese University of Hong Kong (3); UC Berkeley (3); University of Texas at Austin (3); UNC-Chapel Hill (3)"
Central South University,Academia,37,2,0,231,6.24,182,83,0.00132697,Deep Learning (10); Applications (9); Unknown (6); Social Aspects (5); Reinforcement Learning (3),"Memorization, evaluation, and generalization (21); Agents, tools, and computer use (18); LLM reasoning and test-time compute (16); Theory, optimization, and sampling (16); Safety, alignment, governance, and risk (14)",11: agent / agents / multi agent / multi (6); 10: 3d / vision / applications computer / computer vision (4); 19: action / vla / language action / vision language (4),Tsinghua University (10); Harbin Institute of Technology (4); University of Science and Technology of China (4); Hong Kong University of Science and Technology (3); Harbin Institute of Technology (Shenzhen) (3); Peking University (3); Zhejiang University (3); Microsoft (3)
Harbin Institute of Technology (Shenzhen),Academia,37,1,0,173,4.68,106,59,0.00122705,Applications (16); Deep Learning (8); Unknown (7); Social Aspects (5); General Machine Learning (1),"Memorization, evaluation, and generalization (24); Safety, alignment, governance, and risk (23); Agents, tools, and computer use (21); LLM reasoning and test-time compute (17); Theory, optimization, and sampling (17)",11: agent / agents / multi agent / multi (4); 19: action / vla / language action / vision language (4); 29: speech / audio / applications language / speech dialog (4),"Harbin Institute of Technology (26); Harbin Institute of Technology, Shenzhen (13); Tsinghua University (6); Hong Kong University of Science and Technology (5); Pengcheng Laboratory (4); Peng Cheng Laboratory (4); Central South University (3); Tencent (3)"
The University of Sydney,Academia,36,0,0,182,5.06,53,91,0.00150636,Deep Learning (12); Applications (10); Social Aspects (4); General Machine Learning (4); Unknown (2),"Memorization, evaluation, and generalization (22); Theory, optimization, and sampling (18); Multimodal, vision-language, and video (17); Safety, alignment, governance, and risk (17); Diffusion, flow, and generative modeling (13)",5: graph / graph neural / networks / neural networks (4); 19: action / vla / language action / vision language (4); 25: cross / semantic / label / extensive (3),University of Sydney (18); HKBU / RIKEN (5); Hong Kong University of Science and Technology (5); Chinese Academy of Sciences (4); Shanghai AI Laboratory (4); University of Cambridge (4); National University of Singapore (4); Nanjing University (3)
University of Sydney,Academia,36,0,0,167,4.64,72,86,0.00137393,Deep Learning (15); Applications (10); Social Aspects (4); General Machine Learning (4); Theory (1),"Theory, optimization, and sampling (20); Memorization, evaluation, and generalization (20); LLM reasoning and test-time compute (16); Multimodal, vision-language, and video (15); Safety, alignment, governance, and risk (15)",3: diffusion / generative / diffusion models / generative models (4); 19: action / vla / language action / vision language (4); 18: time series / series / time / forecasting (3),The University of Sydney (18); University of Melbourne (4); University of Hong Kong (4); University of Cambridge (4); Hong Kong University of Science and Technology (3); National University of Singapore (3); SenseTime (3); University of Science and Technology of China (3)
Shanghai University of Finance and Economics,Academia,35,1,0,264,7.54,108,75,0.00125374,Unknown (9); General Machine Learning (7); Applications (5); Deep Learning (4); Social Aspects (3),"Theory, optimization, and sampling (25); Safety, alignment, governance, and risk (18); Memorization, evaluation, and generalization (15); Systems, efficiency, and compression (15); RL for LLMs and verifiable rewards (9)",17: representation / machine learning / machine / general (7); 8: causal / causality / learning causality / treatment (5); 22: gradient / networks / optimization / neural networks (3),"Peking University (6); Tsinghua University (5); Tenure-track Assistant Professor, Shanghai University of Finance and Economics (4); University College London (4); Harbin Institute of Technology (4); University of Hong Kong (3); Alibaba (3); Chinese Academy of Sciences (3)"
Shenzhen University,Academia,35,0,0,510,14.57,192,74,0.001229,Applications (10); Deep Learning (10); General Machine Learning (7); Unknown (3); Reinforcement Learning (2),"Memorization, evaluation, and generalization (22); Multimodal, vision-language, and video (22); Agents, tools, and computer use (16); Systems, efficiency, and compression (13); LLM reasoning and test-time compute (13)",25: cross / semantic / label / extensive (8); 20: code / anonymous / 4open science / 4open (6); 4: visual / multimodal / reasoning / vision (5),University of Hong Kong (7); ByteDance (4); University of Science and Technology of China (4); The Chinese University of Hong Kong (4); Shanghai Jiao Tong University (4); Southern University of Science and Technology (3); Hong Kong University of Science and Technology (3); Peking University (3)
UCLA,Other / unknown,34,1,0,653,19.21,533,77,0.00132563,Deep Learning (14); Unknown (7); Applications (4); General Machine Learning (3); Reinforcement Learning (2),"LLM reasoning and test-time compute (23); RL for LLMs and verifiable rewards (18); Memorization, evaluation, and generalization (18); Theory, optimization, and sampling (17); Systems, efficiency, and compression (15)",6: reasoning / reinforcement / rl / reinforcement learning (5); 12: tuning / fine tuning / fine / lora (4); 13: scaling / test time / test / time (3),"University of California, Los Angeles (20); UCLA Computer Science Department, University of California, Los Angeles (7); Emory University (4); Hong Kong University of Science and Technology (3); Google (3); Carnegie Mellon University (3); Peking University (3); Amazon (2)"
Westlake University,Academia,34,1,0,636,18.71,152,73,0.00107978,Applications (15); Deep Learning (10); Social Aspects (3); General Machine Learning (2); Unknown (2),"Memorization, evaluation, and generalization (18); Agents, tools, and computer use (16); Multimodal, vision-language, and video (16); Theory, optimization, and sampling (14); Safety, alignment, governance, and risk (14)",1: language / language models / llms / large language (4); 25: cross / semantic / label / extensive (3); 3: diffusion / generative / diffusion models / generative models (3),Zhejiang University (9); Alibaba (4); Fudan University (4); Peking University (3); Chinese Academy of Sciences (3); Westlake University (西湖大学) (3); Xiamen University (2); Nanjing University (2)
INRIA,Other / unknown,34,0,0,80,2.35,36,67,0.00220872,Deep Learning (9); Theory (7); Social Aspects (5); General Machine Learning (5); Probabilistic Methods (4),"Theory, optimization, and sampling (20); Memorization, evaluation, and generalization (15); Safety, alignment, governance, and risk (15); Diffusion, flow, and generative modeling (6); RL for LLMs and verifiable rewards (5)",9: theory / algorithm / optimal / regret (5); 14: attention / transformers / transformer / context (5); 17: representation / machine learning / machine / general (5),Inria (9); Université Paris-Saclay (3); Inria Paris (2); Universitat de Barcelona (2); McGill University (2); Meta (2); EPFL (2); Google DeepMind (2)
Nankai University,Academia,34,0,0,332,9.76,289,82,0.00128103,Applications (10); Deep Learning (9); Unknown (5); Reinforcement Learning (3); Probabilistic Methods (3),"Memorization, evaluation, and generalization (20); Theory, optimization, and sampling (19); Multimodal, vision-language, and video (15); Agents, tools, and computer use (15); Safety, alignment, governance, and risk (13)",25: cross / semantic / label / extensive (5); 9: theory / algorithm / optimal / regret (3); 11: agent / agents / multi agent / multi (3),Tsinghua University (11); National University of Singapore (5); Shanghai Jiao Tong University (4); Shanghai AI Laboratory (4); Peking University (4); Nanyang Technological University (3); University of Hong Kong (3); Chinese Academy of Sciences (3)
