canonical_institution,sector,paper_count,oral_count,award_count,public_total_votes,votes_per_paper,visits_last_7_days,unique_partner_count,collaboration_pagerank,top_topic_groups,top_themes,top_clusters,top_partners
NEC Laboratories Europe,Other / unknown,1,0,0,6,6.0,6,4,0.00012041,Deep Learning (1),"AI for science, health, and biology (1); Agents, tools, and computer use (1); Diffusion, flow, and generative modeling (1); Interpretability and mechanistic analysis (1); Multimodal, vision-language, and video (1)",3: diffusion / generative / diffusion models / generative models (1),NEC Bio Therapeutics (1); NEC Labs America (1); University of Stuttgart (1); Universität Stuttgart (1)
University of Kassel,Academia,1,0,0,4,4.0,0,2,0.00012029,Deep Learning (1),"Agents, tools, and computer use (1); Interpretability and mechanistic analysis (1); Memorization, evaluation, and generalization (1); Theory, optimization, and sampling (1)",29: speech / audio / applications language / speech dialog (1),Universiteit Gent (1); Universität Kassel (1)
Universität Kassel,Other / unknown,1,0,0,4,4.0,0,2,0.00012029,Deep Learning (1),"Agents, tools, and computer use (1); Interpretability and mechanistic analysis (1); Memorization, evaluation, and generalization (1); Theory, optimization, and sampling (1)",29: speech / audio / applications language / speech dialog (1),Universiteit Gent (1); University of Kassel (1)
Shanghai Institute of Intelligent Technology,Other / unknown,1,0,0,37,37.0,8,9,0.00012023,Optimization (1),"LLM reasoning and test-time compute (1); RL for LLMs and verifiable rewards (1); Safety, alignment, governance, and risk (1); Systems, efficiency, and compression (1); Theory, optimization, and sampling (1)",21: quantization / kv / memory / cache (1),Fudan University (1); MIT (1); Shanghai Innovation Institute (1); Shanghai Jiao Tong University (1); Shanghai innovation institute (1); University of Chinese Academy of Sciences (1); University of Hong Kong (1); Zhejiang University (1)
Shanghai innovation institute,Other / unknown,1,0,0,37,37.0,8,9,0.00012023,Optimization (1),"LLM reasoning and test-time compute (1); RL for LLMs and verifiable rewards (1); Safety, alignment, governance, and risk (1); Systems, efficiency, and compression (1); Theory, optimization, and sampling (1)",21: quantization / kv / memory / cache (1),Fudan University (1); MIT (1); Shanghai Innovation Institute (1); Shanghai Institute of Intelligent Technology (1); Shanghai Jiao Tong University (1); University of Chinese Academy of Sciences (1); University of Hong Kong (1); Zhejiang University (1)
Techincal University of Munich,Academia,1,0,0,3,3.0,3,7,0.00012,Applications (1),"Agents, tools, and computer use (1); Diffusion, flow, and generative modeling (1); LLM reasoning and test-time compute (1); Multimodal, vision-language, and video (1); Robotics and world models (1)",3: diffusion / generative / diffusion models / generative models (1),McGill University (1); National Taiwan University (1); National University of Singapore (1); North China University of Technology (1); Technical University of Munich (1); Technische Universität München (1); University of Utah (1)
ENS / INRIA Paris,Other / unknown,1,0,0,4,4.0,12,3,0.00011977,Reinforcement Learning (1),"Memorization, evaluation, and generalization (1); RL for LLMs and verifiable rewards (1)",7: reinforcement learning / reinforcement / policy / rl (1),ENS Paris : École normale supérieure - PSL (1); INRIA (1); Inria (1)
ENS Paris : École normale supérieure - PSL,Other / unknown,1,0,0,4,4.0,12,3,0.00011977,Reinforcement Learning (1),"Memorization, evaluation, and generalization (1); RL for LLMs and verifiable rewards (1)",7: reinforcement learning / reinforcement / policy / rl (1),ENS / INRIA Paris (1); INRIA (1); Inria (1)
"Nara Institute of Science and Technology (NAIST), Japan",Other / unknown,1,0,0,0,0.0,0,2,0.0001197,Probabilistic Methods (1),"Interpretability and mechanistic analysis (1); Memorization, evaluation, and generalization (1); Safety, alignment, governance, and risk (1); Theory, optimization, and sampling (1)",17: representation / machine learning / machine / general (1),"Nara Institute of Science and Technology (1); Nara Institute of Science and Technology, Japan (1)"
"Nara Institute of Science and Technology, Japan",Other / unknown,1,0,0,0,0.0,0,2,0.0001197,Probabilistic Methods (1),"Interpretability and mechanistic analysis (1); Memorization, evaluation, and generalization (1); Safety, alignment, governance, and risk (1); Theory, optimization, and sampling (1)",17: representation / machine learning / machine / general (1),"Nara Institute of Science and Technology (1); Nara Institute of Science and Technology (NAIST), Japan (1)"
